,Title,Episodes,Average Score (Out of 100),Popularity,Is Adult,Country of Origin,Source,Genres,Start Date,End Date,Description,Season,Season Year,Duration,Type
10,Kidou Senshi Gundam: Dai 08 MS Shotai,12.0,76.0,15466,False,JP,ORIGINAL,"['Adventure', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']",25/1/1996,25/7/1999,"UC 0079 - After the success of Operation Odessa, more and more Earth Federation soldiers are sent to earth to free it from the hands of the Principality of Zeon. As Zeonic troops retreat to unknown parts of the world, it's up to the Earth Federation Ground Force to find them and exterminate them. <br><br>
Ensign Shiro Amada is made leader of the 08th MS Team, leading a team of Ground Type Gundams into battle. His mission: to distract the enemy and find a mysterious new Zeon weapon. But can he complete it when he falls in love with a Zeon pilot, named Aina Sahalin? <br><br>
(Source: Otakufreakmk2, copyedited by Kolokotronis) ",WINTER,1996.0,24.0,OVA
11,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,6.0,79.0,14044,False,JP,ORIGINAL,"['Adventure', 'Drama', 'Mecha', 'Sci-Fi']",25/3/1989,25/8/1989,"The Side 6 space colony is a neutral oasis in the war between Zeon and the Earth Federation. Alfred Izuruha, a ten-year-old boy, finds relief from the tedium of schoolwork by following the war's progress and collecting military memorabilia. When rumors that the colony is hiding a Federation mobile suit development program bring Zeon special forces to Side 6, Alfred views them as a source of additional excitement. But, as the Zeon mission becomes more urgent and both sides take increasingly desperate measures, he might be in for an unexpectedly close look at the reality of war.",SPRING,1989.0,27.0,OVA
12,Kidou Senshi Gundam: Dai 08 MS Shotai - Miller's Report,1.0,63.0,2665,False,JP,ORIGINAL,"['Drama', 'Mecha', 'Sci-Fi']",1/8/1998,1/8/1998,"Shortly after being rescued off the Himalayas, Federation Ensign Shiro Amada is accused of espionage due to his encounter with Zeon's top-secret mobile armor. Intelligence officer Alice Miller is assigned to investigate on Shiro's whereabouts during his disappearance. Her documented findings will determine whether or not Shiro is a traitor, and what his fate will be as commander of the 08th MS Team.
<br><br>
(Source: Anime News Network)",SUMMER,1998.0,52.0,MOVIE
13,Kidou Senshi Gundam 0083: STARDUST MEMORY,13.0,67.0,9445,False,JP,ORIGINAL,"['Adventure', 'Drama', 'Mecha', 'Sci-Fi']",23/5/1991,24/9/1992,"U.C. 0083 - Three years after the end of the catastrophic One Year War, peace on Earth and the colonies is shattered by the presence of the Delaz Fleet, a rogue Zeon military group loyal to the ideals of the late dictator Gihren Zabi. Delaz Fleet's ace pilot Anavel Gato, once hailed as ""The Nightmare of Solomon"", infiltrates the Federation's Torrington base in Australia and steals the nuclear-armed Gundam GP02A ""Physalis"" prototype. Rookie pilot Kou Uraki - with the aid of Anaheim Electronics engineer Nina Purpleton and the crew of the carrier Albion - pilots the Gundam GP01 ""Zephyranthes"" prototype in an attempt to recover the stolen Gundam unit and prevent another war from breaking out. <br><br>
(Source: Anime News Network)",SPRING,1991.0,30.0,OVA
14,Kidou Senshi Zeta Gundam,50.0,77.0,16805,False,JP,ORIGINAL,"['Drama', 'Mecha', 'Sci-Fi']",2/3/1985,22/2/1986,"The year is Universal Century 0087. Seven years have passed since the end of the One Year War. In its zeal to stamp out any remaining opposition, the Earth Federation has organized the Titans, an elite fighting force. However, the Titans soon get out of hand, committing atrocities on par with the worst the Principality of Zeon had to offer during the war. In response, dissatisified citizens, former Zeon soldiers, and even members of the Earth Federal Forces form a resistance group known as the Anti-Earth Union Group, or AEUG. As the next war is brewing, a small AEUG group arrives at Side 7 to investigate the new Gundam Mk. II...
<br><br>
(Source: Anime News Network)",SPRING,1985.0,24.0,TV
15,Kidou Senshi Gundam Double Zeta,47.0,64.0,10478,False,JP,ORIGINAL,"['Drama', 'Mecha', 'Sci-Fi']",8/3/1986,31/1/1987,"It is the year 0088 of the Universal Century in Mobile Suit Gundam ZZ. The badly damaged assault cruiser Argama docks at the run-down space colony of Shangri-La for much-needed repairs. While the Argama is in drydock, a young junk dealer named Judau Ashta sneaks aboard in an attempt to steal the Zeta Gundam. He wants to sell it in order to help his sister, but instead he finds himself coerced into joining the Argama’s crew. Unfortunately for Judau, the Argama is being pursued by a dedicated Neo Zeon officer named Mashymre Cello. In order to protect both his sister and himself, Judau must master the Argama’s newest mobile suit, the ZZ Gundam.<br>
<br>
(Source: Right Stuf)",SPRING,1986.0,24.0,TV
16,Kidou Senshi Gundam: Gyakushuu no Char,1.0,74.0,10935,False,JP,OTHER,"['Drama', 'Mecha', 'Sci-Fi']",12/3/1988,12/3/1988,"U.C. 0093. 13 years have passed since the events of the original Mobile Suit Gundam series. But the foundations of peace are once again threatened by a new Neo Zeon army, led by the infamous Char Aznable! Their ultimate goal is to plunge Earth into a nuclear winter, forcing humanity to emigrate completely into space. Armed with the state-of-the-art Nu Gundam, Amuro Ray and his Federation comrades are all that stand against Neo Zeon. Torn between vengeance, duty, and love - the final battle is at hand!
<br><br>
(Source: Sunrise)",SPRING,1988.0,119.0,MOVIE
17,Kidou Senshi Gundam F91,1.0,62.0,7540,False,JP,ORIGINAL,"['Drama', 'Mecha', 'Sci-Fi']",16/3/1991,16/3/1991,"U.C. 0123.  Mobile Suit Gundam F91 is Gundam creator Yoshiyuki Tomino's attempt to launch a new Gundam saga, set thirty years after Char's Counterattack.<br><br>
The story of Gundam F91 revolves around teenage space colonist Seabook Arno, his friend Cecily Fairchild, and the efforts of the Crossbone Vanguard militia, led by Cecily's grandfather Meitzer Ronah, to establish an aristocracy known as ""Cosmo Babylonia"".<br><br>
In keeping with Gundam tradition, the civilian Seabook is forced by circumstance to pilot the F91 Gundam, coincidentally designed in part by his estranged mother, Dr. Monica Arno.<br><br>
(Source: Wikipedia)",SPRING,1991.0,120.0,MOVIE
18,Kidou Senshi Victory Gundam,51.0,64.0,6440,False,JP,ORIGINAL,"['Drama', 'Mecha', 'Sci-Fi']",2/4/1993,25/3/1994,"It is Universal Century 0153. On the space colonies located at Side 2, the Zanscare Empire has come to power and it holds onto that power through liberal use of the guillotine. With its forces invading the Earth and its space fleets preparing to subjugate the other Sides, the Zanscare Empire has nothing to fear from the weakening Earth Federation. It is opposed only by the League Militaire, whose state of the art mobile suits and young pilots comprise the only real resistance movement. Now, thirteen-year-old Uso Ewin has been dragged into the war by a battle near his home in Eastern Europe. As the Newtype pilot of the Victory Gundam, he fights not only to defeat the Zanscare Empire but also to find out what has become of his parents, who left him behind when they went into space.
<br><br>
(Source: Anime News Network)",SPRING,1993.0,24.0,TV
19,Shin Kidou Senki Gundam Wing,49.0,71.0,21319,False,JP,ORIGINAL,"['Action', 'Adventure', 'Drama', 'Mecha', 'Sci-Fi']",7/4/1995,29/3/1996,"Mankind has moved into space. Thousands of people live on giant orbiting space colonies called ""Sides."" However, the Earth Government, which rules the colonies, is unjust and cruel. A group of revolutionaries build five robotic weapons called Gundams and plan to send them to Earth to begin their fight for independence. Piloted by five young men, these Gundams carry the colonists' hopes and dreams of freedom with them as they descend to Earth to begin Operation Meteor!<br>
<br>
(Source: Nozomi Entertainment)",SPRING,1995.0,24.0,TV
20,Shin Kidou Senki Gundam Wing: Endless Waltz,3.0,71.0,6431,False,JP,ORIGINAL,"['Action', 'Drama', 'Mecha', 'Sci-Fi']",25/1/1997,25/7/1997,"After Colony 196 - One year has passed since the war between Earth and its colonies ended. Heero, Duo, Trowa and Quatre bid farewell to their Gundams and jettison them to the sun. Relena Darlian is now the deputy minister of the Earth Sphere Unified Nation. But as the Gundam pilots are adjusting to the peace on Earth, Relena is kidnapped and a new threat appears, led by Marimeia Khushrenada - daughter of the late dictator Treize Khushrenada and heir to the Barton Foundation. To make matters more complicated, Gundam Nataku pilot Wufei has sided with this faction. The Gundam pilots must recover their mobile suits and once again engage in battle before Marimeia's forces succeed on their bid for global domination.
<br><br>
(Source: Anime News Network)",WINTER,1997.0,30.0,OVA
